timestamp,used,total,virtual,rawused,rawtotal
1736386492000,45.7,188.99,124.38,79.3,251.44
1736991316000,45.7,188.99,124.38,79.3,251.44
1740015425000,7.69,188.2,10.97,34.75,251.44
1740620251000,20.38,188.07,30.44,50.15,251.44
1741225077000,21.24,188.03,34.1,51.23,251.44
1741829902000,21.28,188.05,34.1,51.25,251.44
1742434730000,24.62,187.96,55.99,55.38,251.44
1743040238000,43.78,187.86,75.48,78.49,251.44
1743645068000,47.68,187.78,86.55,83.22,251.44
1743875480000,47.91,187.79,86.66,83.53,251.44
