timestamp,vlun_svt_read,vlun_svt_write
1740772800000,0.5,1.5
1740780000000,0.5,1.5
1740787200000,0.5,1.5
1740794400000,0.5,1.5
1740801600000,0.5,1.5
1740808800000,0.5,1.5
1740816000000,0.5,1.5
1740823200000,0.5,1.5
1740830400000,0.5,1.5
1740837600000,0.5,1.5
1740844800000,0.5,1.5
1740852000000,0.5,1.5
1740859200000,0.5,1.5
1740866400000,0.5,1.5
1740873600000,0.5,1.5
1740880800000,0.5,1.5
1740888000000,0.5,1.4
1740895200000,0.5,1.4
1740902400000,0.5,1.4
1740909600000,0.5,1.4
1740916800000,0.5,1.4
1740924000000,0.5,1.4
1740931200000,0.5,1.4
1740938400000,0.5,1.4
1740945600000,0.5,1.4
1740952800000,0.5,1.4
1740960000000,0.5,1.4
1740967200000,0.5,1.4
1740974400000,0.5,1.4
1740981600000,0.5,1.4
1740988800000,0.5,1.4
1740996000000,0.4,1.4
1741003200000,0.4,1.4
1741010400000,0.4,1.4
1741017600000,0.4,1.4
1741024800000,0.4,1.4
1741032000000,0.4,1.4
1741039200000,0.4,1.5
1741046400000,0.4,1.5
1741053600000,0.4,1.5
1741060800000,0.4,1.5
1741068000000,0.4,1.5
1741075200000,0.4,1.5
1741082400000,0.4,1.5
1741089600000,0.4,1.5
1741096800000,0.4,1.5
1741104000000,0.4,1.6
1741111200000,0.4,1.6
1741118400000,0.4,1.6
1741125600000,0.4,1.6
1741132800000,0.4,1.6
1741140000000,0.4,1.6
1741147200000,0.4,1.6
1741154400000,0.4,1.6
1741161600000,0.4,1.6
1741168800000,0.4,1.6
1741176000000,0.4,1.6
1741183200000,0.4,1.7
1741190400000,0.4,1.7
1741197600000,0.4,1.7
1741204800000,0.4,1.7
1741212000000,0.4,1.6
1741219200000,0.5,1.6
1741226400000,0.5,1.6
1741233600000,0.5,1.6
1741240800000,0.5,1.6
1741248000000,0.5,1.6
1741255200000,0.4,1.5
1741262400000,0.4,1.5
1741269600000,0.4,1.5
1741276800000,0.4,1.5
1741284000000,0.4,1.5
1741291200000,0.4,1.5
1741298400000,0.4,1.5
1741305600000,0.4,1.5
1741312800000,0.4,1.4
1741320000000,0.4,1.4
1741327200000,0.4,1.4
1741334400000,0.4,1.4
1741341600000,0.4,1.4
1741348800000,0.4,1.4
1741356000000,0.4,1.3
1741363200000,0.4,1.3
1741370400000,0.4,1.3
1741377600000,0.4,1.3
1741384800000,0.4,1.3
1741392000000,0.4,1.3
1741399200000,0.4,1.3
1741406400000,0.4,1.3
1741413600000,0.4,1.4
1741420800000,0.4,1.4
1741428000000,0.4,1.4
1741435200000,0.4,1.4
1741442400000,0.4,1.4
1741449600000,0.4,1.4
1741456800000,0.4,1.4
1741464000000,0.4,1.4
1741471200000,0.4,1.4
